,area_error_val,area_error_percentil,area_error_p_val,area_error_p_val_corrected_bool,area_error_p_val_corrected_val,area_error_abs_val,area_error_abs_percentil,area_error_abs_p_val,area_error_abs_p_val_corrected_bool,area_error_abs_p_val_corrected_val,temporal_error_val,temporal_error_percentil,temporal_error_p_val,temporal_error_p_val_corrected_bool,temporal_error_p_val_corrected_val,d_val,d_percentil,d_p_val,d_p_val_corrected_bool,d_p_val_corrected_val,velocidad_media_val,velocidad_media_percentil,velocidad_media_p_val,velocidad_media_p_val_corrected_bool,velocidad_media_p_val_corrected_val
0,0.09918739126641307,73.209,0.73209,False,0.8165982857142857,-0.12829015437645996,16.463,0.16463,False,0.9624523076923076,-4.842000000000045,39.353,0.39353,False,0.747707,0.014649577773361955,69.977,0.69977,False,0.9916074666666667,0.00014138601092335973,59.279,0.59279,False,0.9999800000000001
1,0.0043082729393792984,52.339999999999996,0.5234,False,0.6846183050847457,0.008072942656160875,53.044999999999995,0.53045,False,0.9858100000000001,-2.042500000000075,51.902,0.51902,False,0.8700182608695652,-0.010471605038356202,37.023,0.37023000000000006,False,0.9812421621621622,-0.00016496290375075592,36.075,0.36075,False,0.9999800000000001
2,0.002836907060542848,49.675999999999995,0.4967599999999999,False,0.6846183050847457,-0.05590394366759088,37.543,0.37543,False,0.9858100000000001,-13.08899999999997,25.257,0.25257,False,0.6722068965517242,0.01116915599537549,73.34,0.7334,False,0.9916074666666667,0.0005965685725997268,75.505,0.75505,False,0.9999800000000001
3,-0.2890781074365181,12.966,0.12966,False,0.4460918518518519,0.21751324060451166,79.111,0.7911100000000001,False,0.9858100000000001,36.136499999999984,90.874,0.90874,False,0.9592255555555556,0.03719351702147211,91.132,0.91132,False,0.9916074666666667,-0.0015692459750142745,7.126,0.07126,False,0.9531781818181818
4,0.07032949921949155,64.31700000000001,0.64317,False,0.77061625,-0.01792082561411984,47.046,0.47046,False,0.9858100000000001,36.23349999999985,90.53099999999999,0.90531,False,0.9592255555555556,0.009067912771048015,73.658,0.73658,False,0.9916074666666667,-0.001554626317277201,10.742,0.10742000000000002,False,0.9531781818181818
5,-0.07409417673712881,28.377999999999997,0.28378,False,0.49016545454545446,0.14921235606790373,92.595,0.9259499999999999,False,0.9858100000000001,11.474499999999978,66.81899999999999,0.6681899999999998,False,0.9321268965517241,0.02283515987621687,76.093,0.76093,False,0.9916074666666667,-0.0004998396514805069,31.573,0.31573,False,0.9999800000000001
6,-0.08384251516788988,39.312999999999995,0.39313,False,0.5745746153846153,0.0006188154350674768,50.501,0.50501,False,0.9858100000000001,19.242500000000092,70.039,0.7003900000000001,False,0.9321268965517241,0.0005298987490514051,49.803,0.49803,False,0.9916074666666667,-0.0007408081656648351,29.198,0.29198,False,0.9999800000000001
7,-0.154511271912595,24.598,0.24597999999999998,False,0.47373333333333323,0.1307403802379653,81.489,0.81489,False,0.9858100000000001,20.332000000000022,80.185,0.8018500000000001,False,0.9592255555555556,0.014999952504960667,77.313,0.77313,False,0.9916074666666667,-0.0007550688370549855,25.019000000000002,0.25019,False,0.9999800000000001
8,0.09865605679063777,68.953,0.68953,False,0.7940042424242424,-0.09052507809514826,25.002999999999997,0.25003,False,0.9858100000000001,25.456999999999912,94.408,0.94408,False,0.96563,-0.0011906546684352648,44.366,0.44366,False,0.9812421621621622,-0.0012636839057404807,9.384,0.09384,False,0.9531781818181818
9,-0.15146287873052744,14.963000000000001,0.14963,False,0.4460918518518519,0.13632864264816807,91.645,0.91645,False,0.9858100000000001,-5.840499999999835,33.689,0.33689,False,0.7315325714285715,0.00830613474173969,59.160999999999994,0.59161,False,0.9916074666666667,0.0002652856179125966,63.444,0.63444,False,0.9999800000000001
10,-0.22952982246225487,8.998000000000001,0.08998,False,0.38354666666666665,0.08390523033398689,85.94500000000001,0.85945,False,0.9858100000000001,13.65949999999998,86.733,0.86733,False,0.9592255555555556,0.039979435278760356,96.639,0.96639,False,0.9916074666666667,-0.0007348978208903886,11.325000000000001,0.11325000000000002,False,0.9531781818181818
11,0.22609597555046013,93.879,0.93879,False,0.9641627027027027,-0.14952891472040455,8.872,0.08872,False,0.84284,-17.685,18.508,0.18508,False,0.5935916666666667,0.010897689958038193,90.839,0.90839,False,0.9916074666666667,0.0006497036159081697,77.12400000000001,0.7712400000000001,False,0.9999800000000001
12,0.07517224980879522,74.23100000000001,0.7423100000000001,False,0.8165982857142857,-0.02905222249047945,36.725,0.36725,False,0.9858100000000001,13.68249999999989,76.196,0.76196,False,0.9592255555555556,-0.005183091721662869,32.421,0.32421,False,0.9812421621621622,-0.00057612619526793,23.000999999999998,0.23000999999999996,False,0.9999800000000001
13,-0.007162587429912465,45.546,0.45546,False,0.6531124528301887,0.04128964808259761,75.606,0.75606,False,0.9858100000000001,29.789500000000032,86.44,0.8644,False,0.9592255555555556,0.015900736800547044,75.724,0.75724,False,0.9916074666666667,-0.0013583329077747636,10.639999999999999,0.1064,False,0.9531781818181818
14,0.02485198078847789,50.91,0.5091,False,0.6846183050847457,-0.039914944634699134,29.681,0.29681,False,0.9858100000000001,15.012500000000102,89.243,0.89243,False,0.9592255555555556,0.01865244233652774,91.692,0.91692,False,0.9916074666666667,-0.0006406520293012058,13.465,0.13465,False,0.9531781818181818
15,-0.15677473803342107,27.177,0.27177,False,0.4803376744186047,0.08995332015805135,64.43799999999999,0.6443799999999998,False,0.9858100000000001,32.38349999999991,85.542,0.8554200000000001,False,0.9592255555555556,0.0072470982105814485,69.672,0.69672,False,0.9916074666666667,-0.001493246116896654,13.796,0.13796,False,0.9531781818181818
16,-16.070554492338598,0.0,0.0,True,0.0,-9.631056971550777,0.058,0.00058,True,0.02204,-249.08050000000026,5.007000000000001,0.05007,False,0.52497,5.43598603920713,99.968,0.99968,False,0.99968,0.00755163327404655,99.998,0.9999800000000001,False,0.9999800000000001
17,-8.965427685287363,0.011000000000000001,0.00011000000000000002,True,0.0027866666666666673,-5.546055914691323,1.0710000000000002,0.010710000000000003,False,0.20349000000000006,-312.26400000000024,0.055999999999999994,0.00056,True,0.02128,-0.3788395879261106,22.153,0.22152999999999998,False,0.9812421621621622,0.004579874795466992,99.89099999999999,0.99891,False,0.9999800000000001
18,-5.747836036374434,0.001,1e-05,True,0.0003800000000000001,-4.161985853567486,0.027,0.00027,True,0.02052,-144.14949999999988,0.654,0.006540000000000001,False,0.12426000000000002,-0.5405937847858286,20.665,0.20665,False,0.9812421621621622,0.0028108489955180355,96.383,0.96383,False,0.9999800000000001
19,-2.031965564737761,1.8499999999999999,0.0185,False,0.15622222222222223,-0.7988978635439175,31.177,0.31177,False,0.9858100000000001,-71.21849999999998,5.526,0.05526,False,0.52497,0.2766270685376355,57.525999999999996,0.57526,False,0.9916074666666667,0.0033962385227791388,98.107,0.98107,False,0.9999800000000001
20,-2.515400979815274,0.388,0.00388,False,0.05897600000000001,-1.2715326808352585,17.971999999999998,0.17972,False,0.9756228571428571,-102.76350000000008,31.596000000000004,0.31596,False,0.721575294117647,-0.1540956815937875,33.649,0.33649,False,0.9812421621621622,0.0019335422203251226,79.79899999999999,0.79799,False,0.9999800000000001
21,-2.239618974389262,0.511,0.00511,False,0.06472666666666667,-1.077063428085847,6.135,0.061349999999999995,False,0.7771,-111.96650000000012,0.5720000000000001,0.00572,False,0.12426000000000002,-0.9632793710742691,2.39,0.0239,False,0.45410000000000006,0.0017588035284178058,88.99000000000001,0.8899000000000001,False,0.9999800000000001
