trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,area_error,area_error_abs,d,dt,reproduced_period,temporal_error
16,956.238,1628.61,333,0,0,0,1,0,1,vft_matiasherrera,4.065837159731662e-06,-1.475843133454319e-05,0.07929957090279731,2.1284882769999998,672.3719999999998,-339.37199999999984
17,576.35,1315.57,333,0,0,0,1,0,1,vft_matiasherrera,0.00016509428766316942,-0.00016512863941213325,0.08106957188241663,1.815454525,739.2199999999999,-406.2199999999999
18,265.693,1001.17,333,0,0,0,1,0,1,vft_matiasherrera,6.276595423074398e-05,-7.107493778565633e-05,0.07867132178178199,1.501013372,735.477,-402.477
19,406.94800000000004,999.59,333,0,0,0,1,0,1,vft_matiasherrera,0.00018548882436832364,-0.00018550490579333895,0.07841311574127227,1.4993775280000001,592.642,-259.64200000000005
20,556.852,1201.8,333,0,0,0,1,0,1,vft_matiasherrera,8.821076664844758e-05,-8.821168023086847e-05,0.07714371544907375,1.701720662,644.948,-311.948
21,227.727,714.003,333,0,0,0,1,0,1,vft_matiasherrera,0.00011625242423677249,-0.00011625217253885362,0.07739146114955454,1.213990532,486.27600000000007,-153.27600000000007
22,401.56300000000005,1176.41,333,0,0,0,1,0,1,vft_matiasherrera,-2.653259244392328e-05,-2.8035774603809533e-05,0.07960858285901792,1.6762598419999999,774.847,-441.847
23,480.292,1100.41,333,0,0,0,1,0,1,vft_matiasherrera,0.00016289313314974053,-0.00016296149816469798,0.0832279115974631,1.6002003500000002,620.1180000000002,-287.11800000000017
24,365.663,962.456,333,0,0,0,1,0,1,vft_matiasherrera,2.0757389671545122e-06,-2.5398635854566943e-05,0.08163079656843746,1.462439758,596.793,-263.793
25,414.91900000000004,953.658,333,0,0,0,1,0,1,vft_matiasherrera,0.0001399150237672825,-0.00014008259430126226,0.07748824543200886,1.4536091669999998,538.739,-205.73900000000003
26,972.432,1439.33,333,0,0,0,1,0,1,vft_matiasherrera,0.00016705994467942564,-0.00016720867745120837,0.08024920973936255,1.939274295,466.8979999999999,-133.8979999999999
27,492.70599999999996,939.127,333,0,0,0,1,0,1,vft_matiasherrera,-2.1472146753711482e-05,-3.3769493303010265e-05,0.07974852612204116,1.439072932,446.421,-113.42099999999999
28,101.421,602.808,333,0,0,0,1,0,1,vft_matiasherrera,0.0001079646139095575,-0.00010884540029486493,0.07588150525802223,1.102579776,501.387,-168.387
29,338.339,701.935,333,0,0,0,1,0,1,vft_matiasherrera,4.8128188615566e-05,-6.799842912753243e-05,0.08228772253498484,1.201800256,363.59599999999995,-30.595999999999947
30,408.80199999999996,1597.8,333,0,0,1,1,1,1,vft_matiasherrera,-0.0005993972718280995,-0.0005995730749654279,0.12834112086836072,2.097752767,1188.998,-855.998
31,560.547,1264.02,333,0,0,1,1,1,1,vft_matiasherrera,-0.0003752486614538411,-0.00039994407951006504,0.09808535793442968,1.763811294,703.473,-370.47299999999996
32,536.5319999999999,1169.79,333,0,0,1,1,1,1,vft_matiasherrera,-0.0004536423363218621,-0.0004671545955542075,0.08923952465411802,1.6696419689999997,633.258,-300.25800000000004
33,607.3580000000001,1123.37,333,0,0,1,1,1,1,vft_matiasherrera,-0.000286599845151417,-0.00030478960176156465,0.08491796019886,1.6233498179999999,516.0119999999998,-183.01199999999983
34,475.63,1050.33,333,0,0,1,1,1,1,vft_matiasherrera,-7.306809439462357e-05,-0.00014608452709660735,0.08353582590344942,1.550176664,574.6999999999999,-241.69999999999993
35,572.5790000000001,1059.11,333,0,0,1,1,1,1,vft_matiasherrera,-0.00025925056952212405,-0.0002611125059327049,0.08238599776206121,1.558899918,486.53099999999984,-153.53099999999984
36,566.495,1097.49,333,0,0,1,1,1,1,vft_matiasherrera,4.451531441444053e-05,-0.00015937903726612835,0.08303574440938306,1.597320275,530.995,-197.995
37,478.159,866.742,333,0,0,1,1,1,1,vft_matiasherrera,-0.0003592033736779784,-0.0003765684452454362,0.0856148784744741,1.366640313,388.58299999999997,-55.58299999999997
38,519.62,1041.49,333,0,0,1,1,1,1,vft_matiasherrera,-0.00016728894493940456,-0.0003000590737935351,0.09519303891275044,1.541350309,521.87,-188.87
39,753.5989999999999,1182.42,333,0,0,1,1,1,1,vft_matiasherrera,-8.21620826865635e-05,-0.00025156477880045703,0.08978633148196377,1.6822502019999999,428.82100000000014,-95.82100000000014
40,527.058,1010.84,333,0,0,1,1,1,1,vft_matiasherrera,-0.000113206827740419,-0.00018214880760678503,0.08763614911309048,1.510630194,483.78200000000004,-150.78200000000004
41,921.275,1286.3,333,0,0,1,1,1,1,vft_matiasherrera,-0.0003697872638772254,-0.00037705995686602696,0.08910647149641901,1.786074474,365.025,-32.02499999999998
42,869.7330000000001,1247.49,333,0,0,1,1,1,1,vft_matiasherrera,-7.752360511656848e-05,-0.00011692697162325727,0.09025233573154548,1.747227138,377.75699999999995,-44.75699999999995
43,509.506,864.51,333,0,0,1,1,1,1,vft_matiasherrera,-0.00034284480348016914,-0.0003580731420766192,0.08964070264132257,1.364230074,355.004,-22.00400000000002
44,560.49,936.993,333,0,0,1,1,1,1,vft_matiasherrera,-0.00022770576689409554,-0.00022807107864221583,0.08917577962005285,1.4369800910000001,376.50300000000004,-43.50300000000004
45,758.966,1128.21,333,0,0,1,1,1,1,vft_matiasherrera,-6.474169168047945e-05,-9.386338371113183e-05,0.0886676971841892,1.628190036,369.244,-36.24400000000003
46,572.7280000000001,926.712,333,0,0,1,1,1,1,vft_matiasherrera,-0.0005806851217346314,-0.0005797151620902911,0.09531596286067773,1.4266901490000001,353.9839999999999,-20.983999999999924
47,561.721,943.452,333,0,0,1,1,1,1,vft_matiasherrera,-0.00018876473472082743,-0.00019088988670628356,0.08872516907532521,1.443429357,381.731,-48.730999999999995
48,693.194,1122.42,333,0,0,1,1,1,1,vft_matiasherrera,2.1969165878298787e-05,-0.00018247047933681192,0.08810218782818967,1.622386925,429.2260000000001,-96.22600000000011
49,594.692,1045.62,333,0,0,1,1,1,1,vft_matiasherrera,-0.00025451510531997976,-0.00043147044695474875,0.09459390277861991,1.5455671619999998,450.9279999999999,-117.92799999999988
50,571.198,1070.91,333,0,0,1,1,1,1,vft_matiasherrera,-4.036769801143359e-05,-0.00021121098581664948,0.09254234864290409,1.570880027,499.7120000000001,-166.7120000000001
51,494.199,920.919,333,0,0,1,1,1,1,vft_matiasherrera,-0.0002455395984138567,-0.0003422789511738401,0.09876560179480423,1.420923401,426.71999999999997,-93.71999999999997
52,518.924,893.947,333,0,0,1,1,1,1,vft_matiasherrera,-0.0003462863189606152,-0.00036126884560678954,0.09858503603748968,1.3938802460000002,375.023,-42.023000000000025
53,575.4590000000001,945.6669999999999,333,0,0,1,1,1,1,vft_matiasherrera,-0.0003154877862683079,-0.00031877586141606726,0.08747135384427808,1.445520056,370.20799999999986,-37.207999999999856
54,513.964,931.418,333,0,0,1,1,1,1,vft_matiasherrera,-0.0003355203846245726,-0.00033718589875965935,0.08998440690376305,1.4313604519999998,417.45399999999995,-84.45399999999995
55,531.205,841.182,333,0,0,1,1,1,1,vft_matiasherrera,-0.00045011415184949743,-0.00044991264317216354,0.0928955767378508,1.341130436,309.977,23.023000000000025
56,524.898,852.674,333,0,0,1,1,1,1,vft_matiasherrera,-8.624437885265936e-05,-8.785358862967983e-05,0.08384941028969561,1.352608055,327.77599999999995,5.224000000000046
57,630.201,932.679,333,0,0,1,1,1,1,vft_matiasherrera,-4.999384404301649e-05,-0.00017008161406041633,0.08710654350991187,1.4326400090000002,302.47799999999995,30.522000000000048
58,511.707,781.824,333,0,0,1,1,1,1,vft_matiasherrera,-0.0003780880887839245,-0.0003789414813973061,0.0929762917704984,1.2816180849999999,270.11699999999996,62.88300000000004
59,804.008,1485.12,333,0,0,1,1,1,1,vft_matiasherrera,-6.5136806013098e-05,-0.00030985260152343653,0.10980000862670097,1.9850802810000001,681.1119999999999,-348.11199999999985
60,455.711,837.395,333,0,0,2,1,0,1,vft_matiasherrera,0.0003462220595742485,-0.00034627295617524636,0.08100301339242999,1.337290225,381.68399999999997,-48.68399999999997
61,509.45,824.421,333,0,0,2,1,0,1,vft_matiasherrera,0.0004629032706219717,-0.0004629455913217086,0.08693454675529089,1.32429195,314.97100000000006,18.02899999999994
62,483.881,789.3489999999999,333,0,0,2,1,0,1,vft_matiasherrera,0.00012910442706640161,-0.00013227881002737446,0.08682066224311163,1.289288316,305.46799999999996,27.53200000000004
63,430.699,695.9119999999999,333,0,0,2,1,0,1,vft_matiasherrera,0.00024147944600705497,-0.00024156138956647362,0.08585022303267761,1.195870767,265.2129999999999,67.78700000000009
64,677.426,985.148,333,0,0,2,1,0,1,vft_matiasherrera,0.00024978316642353744,-0.00024978312295335236,0.08744677257889125,1.4851206769999998,307.722,25.27800000000002
65,458.715,817.68,333,0,0,2,1,0,1,vft_matiasherrera,7.71064042584561e-05,-8.006816438111699e-05,0.08978390490558895,1.317640241,358.965,-25.964999999999975
66,418.409,723.382,333,0,0,2,1,0,1,vft_matiasherrera,0.00012722316359474302,-0.00012722316359474302,0.08667913166557978,1.223359528,304.97299999999996,28.027000000000044
67,410.15,735.13,333,0,0,2,1,0,1,vft_matiasherrera,0.00012644104200396148,-0.0001278183764217755,0.08395325337062412,1.235071234,324.98,8.019999999999982
68,498.452,786.8989999999999,333,0,0,2,1,0,1,vft_matiasherrera,0.000141953930628566,-0.00014252510653915053,0.0885503822969971,1.2868618809999999,288.4469999999999,44.55300000000011
69,438.958,763.929,333,0,0,2,1,0,1,vft_matiasherrera,9.2736359969948e-05,-9.27363576702811e-05,0.09181286114828882,1.2638700110000003,324.97099999999995,8.029000000000053
70,481.707,851.675,333,0,0,2,1,0,1,vft_matiasherrera,-3.4122602730308646e-05,-3.7506113279435416e-05,0.08835072233211119,1.351608161,369.96799999999996,-36.96799999999996
71,453.94599999999997,743.898,333,0,0,2,1,0,1,vft_matiasherrera,5.741267712653788e-05,-5.981360695136195e-05,0.08837126937998491,1.243849115,289.95200000000006,43.047999999999945
72,447.21,722.617,333,0,0,2,1,0,1,vft_matiasherrera,6.534761697483981e-05,-7.497030223499642e-05,0.08753456494990891,1.2223747040000001,275.407,57.59300000000002
73,477.213,771.684,333,0,0,2,1,0,1,vft_matiasherrera,0.000114081863341682,-0.00011762746716258782,0.08630049172418669,1.271640218,294.47099999999995,38.52900000000005
