sujeto,blockName,metric,slope,slope_robust,mean_last_half,median_last_half
vft_agusbarreto,Force,area_error_abs,-0.14802670192658982,-0.7904916485946525,2.5690466021534695,2.516068881263833
vft_andy,Force,area_error_abs,-0.13358670649394203,-1.0697303675025367,4.128323333490286,3.4312101186658723
vft_ayelensantos,Force,area_error_abs,0.111272809205721,0.7176798191426719,6.126846279318511,5.392131945392735
vft_caro,Force,area_error_abs,-0.18936755762126578,-2.3767771538520677,1.203369843317877,0.985176106237573
vft_constanza,Force,area_error_abs,-0.3197290888072957,-2.442796230950514,1.8411724889290673,1.8630634067725211
vft_enzo,Force,area_error_abs,-0.44975454120407093,-1.4399147421200125,1.0765351099414429,1.0978779344364318
vft_gabrielgoren,Force,area_error_abs,0.2790905491742015,2.2592971386280336,3.696986551064606,4.165059728532253
vft_gianni,Force,area_error_abs,-0.40207151666387525,-1.3932978050098779,4.177027367312309,4.139317761106423
vft_hilariob,Force,area_error_abs,-0.17252103482220071,0.41818041181749954,2.364568785189124,2.261581189709859
vft_joaquin,Force,area_error_abs,-0.20381318447677063,0.8079614012121517,2.104196827721176,1.7904949680303868
vft_lucasg,Force,area_error_abs,-0.5045829736868943,-0.9365335962651791,5.660215249106427,5.110727895360445
vft_luciabusolini,Force,area_error_abs,-0.25533243273840656,-1.2221916305077585,3.615519509611217,2.6802405650965926
vft_lucianagallo,Force,area_error_abs,-0.5532190569497676,-1.3361816692544721,5.352526503522638,4.741872701967751
vft_majo,Force,area_error_abs,-0.13647354673198114,-2.56475147458095,1.603703186337589,1.4254748960412809
vft_mariano,Force,area_error_abs,-0.4172586603187505,-0.4549923641237297,2.5721277848144006,2.5521337155115256
vft_martin,Force,area_error_abs,-0.07392436494253034,-1.5206562356236963,2.6963928895016975,1.509055804461237
vft_matiasherrera,Force,area_error_abs,-0.10070857838979215,1.1380101348118872,1.5606596459999709,1.0475138877265548
vft_melisavinograd,Force,area_error_abs,-0.0880059087436638,-1.9831517917441124,3.745348808335769,3.6944142249301932
vft_rominadalessandro,Force,area_error_abs,-0.2884650304639143,-0.8399508017943491,2.282859625840458,1.899093407173135
vft_sebastian,Force,area_error_abs,-0.4944324029763317,-1.17084054702037,2.543361381218188,2.450327840305865
vft_yamila,Force,area_error_abs,-0.16536308686772877,0.5801951800565993,2.7768167367641214,2.6373982769052007
vft_agusbarreto,VMR,area_error_abs,-1.2946351229186188,-0.669109967717201,0.30189752172105633,0.30161216935331475
vft_andy,VMR,area_error_abs,-0.20388767223740123,-0.7237328920101003,1.5968959734154147,1.2883779285071446
vft_ayelensantos,VMR,area_error_abs,-0.5469464942110102,-0.8670207976594821,3.6709097579447567,2.2880276522107406
vft_caro,VMR,area_error_abs,-0.7527634786709717,-0.7697236277147116,0.8422922854118765,0.6504139280356817
vft_constanza,VMR,area_error_abs,-0.7104252018556663,-0.09661108202127011,0.7023895794193086,0.4801326411305533
vft_enzo,VMR,area_error_abs,-0.7438115551000937,-0.6645487923075808,4.95951531451095,4.255593392442452
vft_gabrielgoren,VMR,area_error_abs,0.10793084274825063,0.42373257715802315,7.023580540332493,6.358464871540675
vft_gianni,VMR,area_error_abs,-0.3216317226564364,-0.5724031052947738,6.563567571353203,6.761920015641924
vft_hilariob,VMR,area_error_abs,-0.9570492847006197,-0.7930995450160203,1.4127025465645247,0.8908232026773019
vft_joaquin,VMR,area_error_abs,-0.5941853883087976,-1.0781688020237232,1.295549001905539,1.0278736694890014
vft_lucasg,VMR,area_error_abs,-0.24697536281112623,-0.17211310486234127,10.357549981294394,10.265351154143572
vft_luciabusolini,VMR,area_error_abs,-1.1538849408602572,-1.5764973363296286,1.6130180005737167,1.1392680993715731
vft_lucianagallo,VMR,area_error_abs,0.12364003326423821,1.4341572346091733,8.55967253918254,8.5106834446423
vft_majo,VMR,area_error_abs,-0.5637396216100615,-0.47827012778321704,3.005482266789324,3.196086640960329
vft_mariano,VMR,area_error_abs,-0.15594180489955503,-1.09864783273516,3.4951496467105776,3.0367748606972604
vft_martin,VMR,area_error_abs,-0.2454208227664153,-0.8660761768882306,1.0256624007650117,0.9968399612782995
vft_matiasherrera,VMR,area_error_abs,-0.25460703812305924,-0.5595061095041771,4.288337782506233,3.6017494160562498
vft_melisavinograd,VMR,area_error_abs,-1.1740853560603626,-1.4084061914758936,2.037471049899038,1.1306816911392266
vft_rominadalessandro,VMR,area_error_abs,-0.7845815486107642,-0.7863246674593557,1.658886847294998,1.5302300907189896
vft_sebastian,VMR,area_error_abs,-0.9113422588463687,-0.8369756634990533,2.431560634168441,1.264439187377599
vft_yamila,VMR,area_error_abs,-0.6341329804946985,-0.4064576865104075,5.538097605997645,5.034180281690921
vft_agusbarreto,Force,temporal_error_abs,-4.350432142857137,-0.022447212755053788,128.4806,105.41799999999999
vft_andy,Force,temporal_error_abs,-13.30561428571428,-0.019454888236980654,144.6266,123.63799999999992
vft_ayelensantos,Force,temporal_error_abs,-27.664767857142863,-0.0325976970238018,217.3763333333333,158.32500000000005
vft_caro,Force,temporal_error_abs,-9.874753571428572,-0.0788803463644247,114.1514,105.13899999999997
vft_constanza,Force,temporal_error_abs,-19.02337499999999,-0.038501615355418024,55.141866666666694,41.730000000000025
vft_enzo,Force,temporal_error_abs,-19.304171428571426,-0.019747877068356248,72.23053333333333,70.125
vft_gabrielgoren,Force,temporal_error_abs,-5.615046428571429,-0.023106488298747667,125.02313333333332,114.92899999999996
vft_gianni,Force,temporal_error_abs,-33.19716428571427,-0.016328730020358916,59.65606666666667,52.529000000000046
vft_hilariob,Force,temporal_error_abs,-9.73648214285714,-0.01390111186648744,85.9494,30.554999999999946
vft_joaquin,Force,temporal_error_abs,-8.384007142857147,-0.00840687149707311,96.19593333333336,53.44100000000003
vft_lucasg,Force,temporal_error_abs,-33.62456785714286,-0.022582190398448374,57.55973333333336,25.44999999999993
vft_luciabusolini,Force,temporal_error_abs,-17.567507142857142,-0.04581609839738385,95.12106666666668,59.98000000000002
vft_lucianagallo,Force,temporal_error_abs,-42.52320714285714,-0.014625447091114244,101.6672,58.386000000000074
vft_majo,Force,temporal_error_abs,-21.74818214285714,-0.03239923755584944,49.04506666666666,39.9860000000001
vft_mariano,Force,temporal_error_abs,-10.512985714285715,-0.01908840896449495,71.94673333333331,53.41599999999993
vft_martin,Force,temporal_error_abs,-23.71964285714285,-0.012723799430914576,64.52179999999998,20.859000000000037
vft_matiasherrera,Force,temporal_error_abs,-35.91796785714285,-0.03421457662611832,80.93293333333332,48.731
vft_melisavinograd,Force,temporal_error_abs,-16.336467857142857,-0.04145098982556477,162.27453333333332,155.89300000000003
vft_rominadalessandro,Force,temporal_error_abs,-34.36569999999998,-0.009822322498674145,81.74873333333338,58.96400000000007
vft_sebastian,Force,temporal_error_abs,-45.637096428571446,-0.010733144877583096,117.89773333333332,104.945
vft_yamila,Force,temporal_error_abs,-12.893364285714275,-0.018820796160274076,430.8095333333333,408.6419999999998
vft_agusbarreto,VMR,temporal_error_abs,-60.025314285714295,-0.006908157824268967,33.23640000000002,33.44599999999991
vft_andy,VMR,temporal_error_abs,-17.304625000000005,-0.028109120036435495,114.06719999999999,87.45600000000002
vft_ayelensantos,VMR,temporal_error_abs,-40.06320000000001,-0.0465022515991088,227.4416,228.016
vft_caro,VMR,temporal_error_abs,-27.83581071428572,-0.016254635175971664,110.82986666666666,110.08900000000006
vft_constanza,VMR,temporal_error_abs,-29.46715714285715,-0.01493886665670396,57.06346666666668,44.12999999999989
vft_enzo,VMR,temporal_error_abs,-43.11649642857142,-0.022069224661657852,66.90159999999999,65.77200000000005
vft_gabrielgoren,VMR,temporal_error_abs,-21.190592857142857,-0.003234917357788289,341.88579999999996,287.39199999999994
vft_gianni,VMR,temporal_error_abs,-47.41659285714287,-0.01821840649524714,94.04726666666667,64.70400000000006
vft_hilariob,VMR,temporal_error_abs,-29.370985714285716,-0.01845315266887266,43.31886666666666,48.452999999999925
vft_joaquin,VMR,temporal_error_abs,-27.05806785714285,-0.024367550603550104,75.19526666666667,72.23200000000007
vft_lucasg,VMR,temporal_error_abs,-37.78863571428571,-0.027811367812154784,62.306666666666615,27.447999999999922
vft_luciabusolini,VMR,temporal_error_abs,-40.74785357142857,-0.01607709940184539,99.81746666666662,89.43299999999998
